Member Number,Current Plan Start Date,Current Plan End Date
10917254,20151002,20160201
10918504,20150205,20150604
10906601,20150110,20150509
10676661,20130411,20130810
10882241,20141013,20150412
10904032,20150505,20151004
10870521,20140914,20150113
10819964,20140331,20140730
10800191,20140205,20150304
10885242,20141022,20151121
10885248,20141119,20151218
10897119,20141130,20160129
10903087,20150505,20150904
10903087,20150505,20150904
10219071,20110704,20120715
10885814,20141101,20150228
10885783,20141023,20150222
10795424,20150128,20160627
10220745,20101014,20111014
10892869,20141117,20150316
10907192,20150111,20150510
10492210,20120208,20120607
10880898,20141008,20151013
10837454,20140527,20140926
10895121,20141124,20150323
10174614,20111117,20120317
10170424,20110602,20111102
10170424,20110602,20111102
10170424,20110602,20111102
10170424,20110602,20111102
10742417,20130906,20140909
10889650,20141103,20150302
10902447,20150530,20150929
10902447,20150530,20150929
10963440,20150706,20151105
10900043,20141231,20150429
10900117,20141213,20150412
10908530,20150113,20150512
10893851,20141118,20150317
10678794,20130402,20140408
10649345,20130108,20130207
10895019,20141123,20150322
10944085,20150428,20150827
10944085,20150428,20150827
10673926,20130316,20130715
10661642,20130205,20130604
10526397,20120402,20130415
10894451,20141120,20150319
10580679,20120730,20120829
10895052,20141123,20150322
10888462,20150301,20150630
10888490,20141128,20150327
10392275,20110930,20120130
10392276,20110930,20120130
10890666,20141106,20151205
10898942,20141231,20150429
10700724,20140724,20141123
10700724,20140724,20141123
10700724,20140724,20141123
10945636,20150901,20151231
10898965,20141208,20160107
10898910,20150101,20150430
10884270,20141019,20151118
10789083,20140115,20140514
10676617,20130326,20130725
10884219,20141019,20150218
10551508,20120528,20120927
10770413,20150117,20160216
10889415,20141101,20150228
10925873,20150228,20150627
10960592,20150628,20151027
10958542,20150618,20151017
10563733,20121123,20140622
10563733,20121123,20140622
10889571,20150303,20150702
10889571,20150303,20150702
10890982,20150304,20151209
10886874,20141027,20150226
10882193,20141014,20151113
10882201,20141013,20150212
10901630,20141223,20150422
10901655,20141223,20150422
10882164,20141013,20150212
10882169,20141013,20150212
10384178,20100630,20110701
10880926,20141008,20150207
10881050,20141008,20150207
10957491,20150615,20151014
10682717,20130417,20130816
10879428,20141005,20150204
10409658,20150102,20160501
10409658,20150102,20160501
10409658,20150102,20160501
10891016,20141113,20151212
10885337,20141022,20150221
10900675,20150817,20160916
10900709,20141217,20150416
10311311,20140812,20141211
10311311,20140812,20141211
10311311,20140812,20141211
10311311,20140812,20141211
10311311,20140812,20141211
10311311,20140812,20141211
10940104,20151214,20160413
10940104,20151214,20160413
10897925,20141202,20150401
10894806,20141121,20150320
10942012,20150501,20150831
10896409,20150101,20150430
10930172,20150313,20150712
10891717,20141111,20150510
10928098,20150305,20150404
10886056,20141024,20150323
10887826,20141029,20150227
10888546,20141031,20151129
10133554,20120125,20120324
10700604,20130624,20140623
10148203,20110817,20121117
10889187,20151230,20170129
10880550,20141007,20150206
10882440,20141013,20150412
10882450,20141013,20150412
10879242,20151104,20160303
