id,date,end,interval
10867290,Fri Oct 31 2014 00:00:00 GMT+0000 (GMT),Wed Oct 15 2014 00:00:00 GMT+0100 (BST),-16
10789564,Wed May 14 2014 00:00:00 GMT+0100 (BST),Wed May 14 2014 00:00:00 GMT+0100 (BST),0
10233260,Sun Jul 15 2012 00:00:00 GMT+0100 (BST),Fri Jun 14 2013 00:00:00 GMT+0100 (BST),334
10233260,Sun Jul 15 2012 00:00:00 GMT+0100 (BST),Fri Jun 14 2013 00:00:00 GMT+0100 (BST),334
10921405,Tue Mar 31 2015 00:00:00 GMT+0100 (BST),Wed Apr 01 2015 00:00:00 GMT+0100 (BST),1
10802560,Mon Aug 11 2014 00:00:00 GMT+0100 (BST),Mon Aug 11 2014 00:00:00 GMT+0100 (BST),0
10858106,Sat Jan 31 2015 00:00:00 GMT+0000 (GMT),Thu Dec 04 2014 00:00:00 GMT+0000 (GMT),-58
10812872,Tue Mar 31 2015 00:00:00 GMT+0100 (BST),Sun Mar 15 2015 00:00:00 GMT+0000 (GMT),-16
10787116,Fri Feb 28 2014 00:00:00 GMT+0000 (GMT),Sat Mar 01 2014 00:00:00 GMT+0000 (GMT),1
10417273,Fri Jul 31 2015 00:00:00 GMT+0100 (BST),Sat Nov 01 2014 00:00:00 GMT+0000 (GMT),-272
10217364,Thu Feb 28 2013 00:00:00 GMT+0000 (GMT),Tue Jan 01 2013 00:00:00 GMT+0000 (GMT),-58
10535703,Sun Aug 03 2014 00:00:00 GMT+0100 (BST),Sun Jul 22 2096 00:00:00 GMT+0100 (BST),29939
10785689,Mon Mar 31 2014 00:00:00 GMT+0100 (BST),Thu Feb 13 2014 00:00:00 GMT+0000 (GMT),-46
10786473,Mon Jun 30 2014 00:00:00 GMT+0100 (BST),Thu Jun 12 2014 00:00:00 GMT+0100 (BST),-18
10794875,Sun Mar 01 2015 00:00:00 GMT+0000 (GMT),Tue Jun 30 2015 00:00:00 GMT+0100 (BST),121
10814242,Tue Sep 30 2014 00:00:00 GMT+0100 (BST),Sun Mar 15 2015 00:00:00 GMT+0000 (GMT),166
10788635,Wed May 14 2014 00:00:00 GMT+0100 (BST),Wed May 14 2014 00:00:00 GMT+0100 (BST),0
10794073,Mon Jun 30 2014 00:00:00 GMT+0100 (BST),Thu Jun 26 2014 00:00:00 GMT+0100 (BST),-4
10780784,Wed Sep 30 2015 00:00:00 GMT+0100 (BST),Sun Nov 01 2015 00:00:00 GMT+0000 (GMT),32
10780784,Wed Sep 30 2015 00:00:00 GMT+0100 (BST),Sun Nov 01 2015 00:00:00 GMT+0000 (GMT),32
10789020,Fri Feb 28 2014 00:00:00 GMT+0000 (GMT),Sat Feb 15 2014 00:00:00 GMT+0000 (GMT),-13
